Iteration	A_taiwaniana_6137_A	A_taiwaniana_6137_B	A_tenuisecta_sp2_8704_A	A_tenuisecta_sp2_8704_B	A_tenuisecta_sp3_8745_A	A_tenuisecta_sp3_8745_B	C_diaphana_6380_A	C_diaphana_6380_B	C_fragilis_sp1_7009_A	C_fragilis_sp1_7009_B	C_fragilis_sp2_7248_A	C_fragilis_sp2_7248_B	C_montana_7943_A	C_montana_7943_B	C_pellucida_6055_A	C_pellucida_6055_B	C_sudetica_8674_A	C_sudetica_8674_B	C_tasmanica_6379_A	C_tasmanica_6379_B	C_tenuis_6387_A	C_tenuis_6387_B	C_utahensis_6848_A	C_utahensis_6848_B	G_continentale_6979_A	G_continentale_6979_B	G_oyamense_sp2_8739_A	G_oyamense_sp2_8739_B	G_remotepinnatum_4862_A	G_remotepinnatum_4862_B	G_robertianum_7945_A	G_robertianum_7945_B
10	6137_copy1	6137_copy2	8704_copy2	8704_copy1	8745_copy2	8745_copy1	6380_BLANK	6380_BLANK2	7009_copy1	7009_copy2	7248_copy2	7248_copy1	7943_copy1	7943_copy2	6055_copy1	6055_copy2	8674_copy1	8674_copy2	6379_copy1	6379_BLANK	6387_copy2	6387_copy1	6848_BLANK	6848_BLANK2	6979_copy1	6979_copy2	8739_copy2	8739_copy1	4862_copy1	4862_copy2	7945_copy2	7945_copy1
11	6137_copy2	6137_copy1	8704_copy2	8704_copy1	8745_copy2	8745_copy1	6380_BLANK	6380_BLANK2	7009_copy1	7009_copy2	7248_copy2	7248_copy1	7943_copy1	7943_copy2	6055_copy1	6055_copy2	8674_copy1	8674_copy2	6379_copy1	6379_BLANK	6387_copy2	6387_copy1	6848_BLANK2	6848_BLANK	6979_copy1	6979_copy2	8739_copy1	8739_copy2	4862_copy1	4862_copy2	7945_copy2	7945_copy1
12	6137_copy2	6137_copy1	8704_copy2	8704_copy1	8745_copy2	8745_copy1	6380_BLANK	6380_BLANK2	7009_copy1	7009_copy2	7248_copy2	7248_copy1	7943_copy1	7943_copy2	6055_copy1	6055_copy2	8674_copy1	8674_copy2	6379_copy1	6379_BLANK	6387_copy2	6387_copy1	6848_BLANK2	6848_BLANK	6979_copy1	6979_copy2	8739_copy1	8739_copy2	4862_copy1	4862_copy2	7945_copy2	7945_copy1
13	6137_copy2	6137_copy1	8704_copy2	8704_copy1	8745_copy2	8745_copy1	6380_BLANK	6380_BLANK2	7009_copy1	7009_copy2	7248_copy2	7248_copy1	7943_copy2	7943_copy1	6055_copy2	6055_copy1	8674_copy1	8674_copy2	6379_copy1	6379_BLANK	6387_copy2	6387_copy1	6848_BLANK2	6848_BLANK	6979_copy1	6979_copy2	8739_copy1	8739_copy2	4862_copy1	4862_copy2	7945_copy2	7945_copy1
14	6137_copy2	6137_copy1	8704_copy2	8704_copy1	8745_copy2	8745_copy1	6380_BLANK2	6380_BLANK	7009_copy1	7009_copy2	7248_copy2	7248_copy1	7943_copy2	7943_copy1	6055_copy2	6055_copy1	8674_copy1	8674_copy2	6379_copy1	6379_BLANK	6387_copy2	6387_copy1	6848_BLANK2	6848_BLANK	6979_copy1	6979_copy2	8739_copy1	8739_copy2	4862_copy1	4862_copy2	7945_copy2	7945_copy1
15	6137_copy2	6137_copy1	8704_copy2	8704_copy1	8745_copy2	8745_copy1	6380_BLANK	6380_BLANK2	7009_copy1	7009_copy2	7248_copy2	7248_copy1	7943_copy2	7943_copy1	6055_copy1	6055_copy2	8674_copy1	8674_copy2	6379_copy1	6379_BLANK	6387_copy2	6387_copy1	6848_BLANK2	6848_BLANK	6979_copy1	6979_copy2	8739_copy1	8739_copy2	4862_copy1	4862_copy2	7945_copy2	7945_copy1
16	6137_copy2	6137_copy1	8704_copy2	8704_copy1	8745_copy2	8745_copy1	6380_BLANK	6380_BLANK2	7009_copy1	7009_copy2	7248_copy2	7248_copy1	7943_copy2	7943_copy1	6055_copy2	6055_copy1	8674_copy1	8674_copy2	6379_BLANK	6379_copy1	6387_copy2	6387_copy1	6848_BLANK2	6848_BLANK	6979_copy1	6979_copy2	8739_copy1	8739_copy2	4862_copy1	4862_copy2	7945_copy2	7945_copy1
17	6137_copy2	6137_copy1	8704_copy2	8704_copy1	8745_copy2	8745_copy1	6380_BLANK	6380_BLANK2	7009_copy1	7009_copy2	7248_copy2	7248_copy1	7943_copy2	7943_copy1	6055_copy2	6055_copy1	8674_copy1	8674_copy2	6379_BLANK	6379_copy1	6387_copy2	6387_copy1	6848_BLANK2	6848_BLANK	6979_copy1	6979_copy2	8739_copy1	8739_copy2	4862_copy1	4862_copy2	7945_copy2	7945_copy1
18	6137_copy2	6137_copy1	8704_copy2	8704_copy1	8745_copy2	8745_copy1	6380_BLANK	6380_BLANK2	7009_copy1	7009_copy2	7248_copy2	7248_copy1	7943_copy2	7943_copy1	6055_copy2	6055_copy1	8674_copy1	8674_copy2	6379_BLANK	6379_copy1	6387_copy2	6387_copy1	6848_BLANK	6848_BLANK2	6979_copy1	6979_copy2	8739_copy1	8739_copy2	4862_copy1	4862_copy2	7945_copy2	7945_copy1
19	6137_copy2	6137_copy1	8704_copy2	8704_copy1	8745_copy2	8745_copy1	6380_BLANK2	6380_BLANK	7009_copy1	7009_copy2	7248_copy2	7248_copy1	7943_copy2	7943_copy1	6055_copy2	6055_copy1	8674_copy1	8674_copy2	6379_copy1	6379_BLANK	6387_copy2	6387_copy1	6848_BLANK	6848_BLANK2	6979_copy1	6979_copy2	8739_copy1	8739_copy2	4862_copy1	4862_copy2	7945_copy2	7945_copy1
20	6137_copy2	6137_copy1	8704_copy2	8704_copy1	8745_copy2	8745_copy1	6380_BLANK2	6380_BLANK	7009_copy1	7009_copy2	7248_copy2	7248_copy1	7943_copy2	7943_copy1	6055_copy1	6055_copy2	8674_copy1	8674_copy2	6379_copy1	6379_BLANK	6387_copy2	6387_copy1	6848_BLANK2	6848_BLANK	6979_copy1	6979_copy2	8739_copy1	8739_copy2	4862_copy1	4862_copy2	7945_copy2	7945_copy1
21	6137_copy2	6137_copy1	8704_copy2	8704_copy1	8745_copy2	8745_copy1	6380_BLANK2	6380_BLANK	7009_copy1	7009_copy2	7248_copy2	7248_copy1	7943_copy2	7943_copy1	6055_copy2	6055_copy1	8674_copy1	8674_copy2	6379_copy1	6379_BLANK	6387_copy2	6387_copy1	6848_BLANK2	6848_BLANK	6979_copy1	6979_copy2	8739_copy1	8739_copy2	4862_copy1	4862_copy2	7945_copy2	7945_copy1
22	6137_copy2	6137_copy1	8704_copy2	8704_copy1	8745_copy2	8745_copy1	6380_BLANK2	6380_BLANK	7009_copy1	7009_copy2	7248_copy2	7248_copy1	7943_copy1	7943_copy2	6055_copy2	6055_copy1	8674_copy1	8674_copy2	6379_copy1	6379_BLANK	6387_copy2	6387_copy1	6848_BLANK2	6848_BLANK	6979_copy1	6979_copy2	8739_copy1	8739_copy2	4862_copy1	4862_copy2	7945_copy2	7945_copy1
23	6137_copy2	6137_copy1	8704_copy2	8704_copy1	8745_copy2	8745_copy1	6380_BLANK2	6380_BLANK	7009_copy1	7009_copy2	7248_copy2	7248_copy1	7943_copy1	7943_copy2	6055_copy2	6055_copy1	8674_copy1	8674_copy2	6379_copy1	6379_BLANK	6387_copy2	6387_copy1	6848_BLANK2	6848_BLANK	6979_copy1	6979_copy2	8739_copy2	8739_copy1	4862_copy1	4862_copy2	7945_copy2	7945_copy1
24	6137_copy2	6137_copy1	8704_copy2	8704_copy1	8745_copy2	8745_copy1	6380_BLANK	6380_BLANK2	7009_copy1	7009_copy2	7248_copy2	7248_copy1	7943_copy1	7943_copy2	6055_copy2	6055_copy1	8674_copy1	8674_copy2	6379_copy1	6379_BLANK	6387_copy2	6387_copy1	6848_BLANK2	6848_BLANK	6979_copy1	6979_copy2	8739_copy2	8739_copy1	4862_copy1	4862_copy2	7945_copy2	7945_copy1
25	6137_copy2	6137_copy1	8704_copy2	8704_copy1	8745_copy2	8745_copy1	6380_BLANK	6380_BLANK2	7009_copy1	7009_copy2	7248_copy2	7248_copy1	7943_copy2	7943_copy1	6055_copy2	6055_copy1	8674_copy1	8674_copy2	6379_copy1	6379_BLANK	6387_copy2	6387_copy1	6848_BLANK	6848_BLANK2	6979_copy1	6979_copy2	8739_copy2	8739_copy1	4862_copy1	4862_copy2	7945_copy2	7945_copy1
26	6137_copy2	6137_copy1	8704_copy2	8704_copy1	8745_copy2	8745_copy1	6380_BLANK2	6380_BLANK	7009_copy1	7009_copy2	7248_copy2	7248_copy1	7943_copy2	7943_copy1	6055_copy2	6055_copy1	8674_copy1	8674_copy2	6379_copy1	6379_BLANK	6387_copy2	6387_copy1	6848_BLANK	6848_BLANK2	6979_copy1	6979_copy2	8739_copy2	8739_copy1	4862_copy1	4862_copy2	7945_copy2	7945_copy1
27	6137_copy2	6137_copy1	8704_copy2	8704_copy1	8745_copy2	8745_copy1	6380_BLANK2	6380_BLANK	7009_copy1	7009_copy2	7248_copy2	7248_copy1	7943_copy1	7943_copy2	6055_copy1	6055_copy2	8674_copy1	8674_copy2	6379_copy1	6379_BLANK	6387_copy2	6387_copy1	6848_BLANK	6848_BLANK2	6979_copy1	6979_copy2	8739_copy2	8739_copy1	4862_copy1	4862_copy2	7945_copy2	7945_copy1
28	6137_copy2	6137_copy1	8704_copy2	8704_copy1	8745_copy2	8745_copy1	6380_BLANK2	6380_BLANK	7009_copy1	7009_copy2	7248_copy2	7248_copy1	7943_copy2	7943_copy1	6055_copy2	6055_copy1	8674_copy1	8674_copy2	6379_copy1	6379_BLANK	6387_copy2	6387_copy1	6848_BLANK2	6848_BLANK	6979_copy1	6979_copy2	8739_copy2	8739_copy1	4862_copy1	4862_copy2	7945_copy2	7945_copy1
29	6137_copy2	6137_copy1	8704_copy2	8704_copy1	8745_copy2	8745_copy1	6380_BLANK	6380_BLANK2	7009_copy1	7009_copy2	7248_copy2	7248_copy1	7943_copy1	7943_copy2	6055_copy1	6055_copy2	8674_copy1	8674_copy2	6379_copy1	6379_BLANK	6387_copy2	6387_copy1	6848_BLANK	6848_BLANK2	6979_copy1	6979_copy2	8739_copy2	8739_copy1	4862_copy1	4862_copy2	7945_copy2	7945_copy1
30	6137_copy2	6137_copy1	8704_copy2	8704_copy1	8745_copy2	8745_copy1	6380_BLANK	6380_BLANK2	7009_copy1	7009_copy2	7248_copy2	7248_copy1	7943_copy2	7943_copy1	6055_copy1	6055_copy2	8674_copy1	8674_copy2	6379_copy1	6379_BLANK	6387_copy2	6387_copy1	6848_BLANK	6848_BLANK2	6979_copy1	6979_copy2	8739_copy2	8739_copy1	4862_copy1	4862_copy2	7945_copy2	7945_copy1
31	6137_copy2	6137_copy1	8704_copy2	8704_copy1	8745_copy2	8745_copy1	6380_BLANK	6380_BLANK2	7009_copy1	7009_copy2	7248_copy2	7248_copy1	7943_copy1	7943_copy2	6055_copy2	6055_copy1	8674_copy1	8674_copy2	6379_copy1	6379_BLANK	6387_copy2	6387_copy1	6848_BLANK2	6848_BLANK	6979_copy1	6979_copy2	8739_copy2	8739_copy1	4862_copy1	4862_copy2	7945_copy2	7945_copy1
32	6137_copy2	6137_copy1	8704_copy2	8704_copy1	8745_copy2	8745_copy1	6380_BLANK2	6380_BLANK	7009_copy1	7009_copy2	7248_copy2	7248_copy1	7943_copy1	7943_copy2	6055_copy2	6055_copy1	8674_copy1	8674_copy2	6379_copy1	6379_BLANK	6387_copy2	6387_copy1	6848_BLANK2	6848_BLANK	6979_copy1	6979_copy2	8739_copy2	8739_copy1	4862_copy1	4862_copy2	7945_copy2	7945_copy1
33	6137_copy2	6137_copy1	8704_copy2	8704_copy1	8745_copy2	8745_copy1	6380_BLANK	6380_BLANK2	7009_copy1	7009_copy2	7248_copy2	7248_copy1	7943_copy2	7943_copy1	6055_copy2	6055_copy1	8674_copy1	8674_copy2	6379_copy1	6379_BLANK	6387_copy2	6387_copy1	6848_BLANK	6848_BLANK2	6979_copy1	6979_copy2	8739_copy1	8739_copy2	4862_copy1	4862_copy2	7945_copy2	7945_copy1
34	6137_copy2	6137_copy1	8704_copy2	8704_copy1	8745_copy2	8745_copy1	6380_BLANK2	6380_BLANK	7009_copy1	7009_copy2	7248_copy2	7248_copy1	7943_copy2	7943_copy1	6055_copy2	6055_copy1	8674_copy1	8674_copy2	6379_copy1	6379_BLANK	6387_copy2	6387_copy1	6848_BLANK2	6848_BLANK	6979_copy1	6979_copy2	8739_copy1	8739_copy2	4862_copy1	4862_copy2	7945_copy2	7945_copy1
35	6137_copy2	6137_copy1	8704_copy2	8704_copy1	8745_copy2	8745_copy1	6380_BLANK2	6380_BLANK	7009_copy1	7009_copy2	7248_copy2	7248_copy1	7943_copy2	7943_copy1	6055_copy2	6055_copy1	8674_copy1	8674_copy2	6379_copy1	6379_BLANK	6387_copy2	6387_copy1	6848_BLANK2	6848_BLANK	6979_copy1	6979_copy2	8739_copy2	8739_copy1	4862_copy1	4862_copy2	7945_copy2	7945_copy1
36	6137_copy2	6137_copy1	8704_copy2	8704_copy1	8745_copy2	8745_copy1	6380_BLANK	6380_BLANK2	7009_copy1	7009_copy2	7248_copy2	7248_copy1	7943_copy2	7943_copy1	6055_copy2	6055_copy1	8674_copy1	8674_copy2	6379_copy1	6379_BLANK	6387_copy2	6387_copy1	6848_BLANK2	6848_BLANK	6979_copy1	6979_copy2	8739_copy2	8739_copy1	4862_copy1	4862_copy2	7945_copy2	7945_copy1
37	6137_copy2	6137_copy1	8704_copy2	8704_copy1	8745_copy2	8745_copy1	6380_BLANK	6380_BLANK2	7009_copy1	7009_copy2	7248_copy2	7248_copy1	7943_copy2	7943_copy1	6055_copy2	6055_copy1	8674_copy1	8674_copy2	6379_copy1	6379_BLANK	6387_copy2	6387_copy1	6848_BLANK	6848_BLANK2	6979_copy1	6979_copy2	8739_copy2	8739_copy1	4862_copy1	4862_copy2	7945_copy2	7945_copy1
38	6137_copy2	6137_copy1	8704_copy2	8704_copy1	8745_copy2	8745_copy1	6380_BLANK	6380_BLANK2	7009_copy1	7009_copy2	7248_copy2	7248_copy1	7943_copy1	7943_copy2	6055_copy2	6055_copy1	8674_copy1	8674_copy2	6379_copy1	6379_BLANK	6387_copy2	6387_copy1	6848_BLANK2	6848_BLANK	6979_copy1	6979_copy2	8739_copy2	8739_copy1	4862_copy1	4862_copy2	7945_copy2	7945_copy1
39	6137_copy2	6137_copy1	8704_copy2	8704_copy1	8745_copy2	8745_copy1	6380_BLANK2	6380_BLANK	7009_copy1	7009_copy2	7248_copy2	7248_copy1	7943_copy1	7943_copy2	6055_copy2	6055_copy1	8674_copy1	8674_copy2	6379_copy1	6379_BLANK	6387_copy2	6387_copy1	6848_BLANK2	6848_BLANK	6979_copy1	6979_copy2	8739_copy2	8739_copy1	4862_copy1	4862_copy2	7945_copy2	7945_copy1
40	6137_copy2	6137_copy1	8704_copy2	8704_copy1	8745_copy2	8745_copy1	6380_BLANK2	6380_BLANK	7009_copy1	7009_copy2	7248_copy2	7248_copy1	7943_copy1	7943_copy2	6055_copy2	6055_copy1	8674_copy1	8674_copy2	6379_copy1	6379_BLANK	6387_copy2	6387_copy1	6848_BLANK2	6848_BLANK	6979_copy1	6979_copy2	8739_copy1	8739_copy2	4862_copy1	4862_copy2	7945_copy2	7945_copy1
41	6137_copy2	6137_copy1	8704_copy2	8704_copy1	8745_copy2	8745_copy1	6380_BLANK2	6380_BLANK	7009_copy1	7009_copy2	7248_copy2	7248_copy1	7943_copy1	7943_copy2	6055_copy1	6055_copy2	8674_copy1	8674_copy2	6379_copy1	6379_BLANK	6387_copy2	6387_copy1	6848_BLANK	6848_BLANK2	6979_copy1	6979_copy2	8739_copy2	8739_copy1	4862_copy1	4862_copy2	7945_copy2	7945_copy1
42	6137_copy2	6137_copy1	8704_copy2	8704_copy1	8745_copy2	8745_copy1	6380_BLANK2	6380_BLANK	7009_copy1	7009_copy2	7248_copy2	7248_copy1	7943_copy2	7943_copy1	6055_copy1	6055_copy2	8674_copy1	8674_copy2	6379_copy1	6379_BLANK	6387_copy2	6387_copy1	6848_BLANK	6848_BLANK2	6979_copy1	6979_copy2	8739_copy1	8739_copy2	4862_copy1	4862_copy2	7945_copy2	7945_copy1
43	6137_copy2	6137_copy1	8704_copy2	8704_copy1	8745_copy2	8745_copy1	6380_BLANK2	6380_BLANK	7009_copy1	7009_copy2	7248_copy2	7248_copy1	7943_copy2	7943_copy1	6055_copy1	6055_copy2	8674_copy1	8674_copy2	6379_copy1	6379_BLANK	6387_copy2	6387_copy1	6848_BLANK	6848_BLANK2	6979_copy1	6979_copy2	8739_copy2	8739_copy1	4862_copy1	4862_copy2	7945_copy2	7945_copy1
44	6137_copy2	6137_copy1	8704_copy2	8704_copy1	8745_copy2	8745_copy1	6380_BLANK2	6380_BLANK	7009_copy1	7009_copy2	7248_copy2	7248_copy1	7943_copy2	7943_copy1	6055_copy1	6055_copy2	8674_copy1	8674_copy2	6379_copy1	6379_BLANK	6387_copy2	6387_copy1	6848_BLANK	6848_BLANK2	6979_copy1	6979_copy2	8739_copy2	8739_copy1	4862_copy1	4862_copy2	7945_copy2	7945_copy1
45	6137_copy2	6137_copy1	8704_copy2	8704_copy1	8745_copy2	8745_copy1	6380_BLANK	6380_BLANK2	7009_copy1	7009_copy2	7248_copy2	7248_copy1	7943_copy1	7943_copy2	6055_copy1	6055_copy2	8674_copy1	8674_copy2	6379_copy1	6379_BLANK	6387_copy2	6387_copy1	6848_BLANK2	6848_BLANK	6979_copy1	6979_copy2	8739_copy1	8739_copy2	4862_copy1	4862_copy2	7945_copy2	7945_copy1
46	6137_copy2	6137_copy1	8704_copy2	8704_copy1	8745_copy2	8745_copy1	6380_BLANK	6380_BLANK2	7009_copy1	7009_copy2	7248_copy2	7248_copy1	7943_copy1	7943_copy2	6055_copy1	6055_copy2	8674_copy1	8674_copy2	6379_copy1	6379_BLANK	6387_copy2	6387_copy1	6848_BLANK	6848_BLANK2	6979_copy1	6979_copy2	8739_copy2	8739_copy1	4862_copy1	4862_copy2	7945_copy2	7945_copy1
47	6137_copy2	6137_copy1	8704_copy2	8704_copy1	8745_copy2	8745_copy1	6380_BLANK	6380_BLANK2	7009_copy1	7009_copy2	7248_copy2	7248_copy1	7943_copy1	7943_copy2	6055_copy1	6055_copy2	8674_copy1	8674_copy2	6379_copy1	6379_BLANK	6387_copy2	6387_copy1	6848_BLANK	6848_BLANK2	6979_copy1	6979_copy2	8739_copy1	8739_copy2	4862_copy1	4862_copy2	7945_copy2	7945_copy1
48	6137_copy2	6137_copy1	8704_copy2	8704_copy1	8745_copy2	8745_copy1	6380_BLANK	6380_BLANK2	7009_copy1	7009_copy2	7248_copy2	7248_copy1	7943_copy1	7943_copy2	6055_copy2	6055_copy1	8674_copy1	8674_copy2	6379_copy1	6379_BLANK	6387_copy2	6387_copy1	6848_BLANK2	6848_BLANK	6979_copy1	6979_copy2	8739_copy1	8739_copy2	4862_copy1	4862_copy2	7945_copy2	7945_copy1
49	6137_copy2	6137_copy1	8704_copy2	8704_copy1	8745_copy2	8745_copy1	6380_BLANK	6380_BLANK2	7009_copy1	7009_copy2	7248_copy2	7248_copy1	7943_copy2	7943_copy1	6055_copy2	6055_copy1	8674_copy1	8674_copy2	6379_BLANK	6379_copy1	6387_copy2	6387_copy1	6848_BLANK	6848_BLANK2	6979_copy1	6979_copy2	8739_copy1	8739_copy2	4862_copy1	4862_copy2	7945_copy2	7945_copy1
50	6137_copy2	6137_copy1	8704_copy2	8704_copy1	8745_copy2	8745_copy1	6380_BLANK	6380_BLANK2	7009_copy1	7009_copy2	7248_copy2	7248_copy1	7943_copy2	7943_copy1	6055_copy2	6055_copy1	8674_copy1	8674_copy2	6379_BLANK	6379_copy1	6387_copy2	6387_copy1	6848_BLANK2	6848_BLANK	6979_copy1	6979_copy2	8739_copy1	8739_copy2	4862_copy1	4862_copy2	7945_copy2	7945_copy1
51	6137_copy2	6137_copy1	8704_copy2	8704_copy1	8745_copy2	8745_copy1	6380_BLANK2	6380_BLANK	7009_copy1	7009_copy2	7248_copy2	7248_copy1	7943_copy2	7943_copy1	6055_copy2	6055_copy1	8674_copy1	8674_copy2	6379_BLANK	6379_copy1	6387_copy2	6387_copy1	6848_BLANK2	6848_BLANK	6979_copy1	6979_copy2	8739_copy2	8739_copy1	4862_copy1	4862_copy2	7945_copy2	7945_copy1
52	6137_copy2	6137_copy1	8704_copy2	8704_copy1	8745_copy2	8745_copy1	6380_BLANK2	6380_BLANK	7009_copy1	7009_copy2	7248_copy2	7248_copy1	7943_copy2	7943_copy1	6055_copy1	6055_copy2	8674_copy1	8674_copy2	6379_BLANK	6379_copy1	6387_copy2	6387_copy1	6848_BLANK2	6848_BLANK	6979_copy1	6979_copy2	8739_copy2	8739_copy1	4862_copy1	4862_copy2	7945_copy2	7945_copy1
53	6137_copy2	6137_copy1	8704_copy2	8704_copy1	8745_copy2	8745_copy1	6380_BLANK	6380_BLANK2	7009_copy1	7009_copy2	7248_copy2	7248_copy1	7943_copy2	7943_copy1	6055_copy1	6055_copy2	8674_copy1	8674_copy2	6379_BLANK	6379_copy1	6387_copy2	6387_copy1	6848_BLANK	6848_BLANK2	6979_copy1	6979_copy2	8739_copy2	8739_copy1	4862_copy1	4862_copy2	7945_copy2	7945_copy1
54	6137_copy2	6137_copy1	8704_copy2	8704_copy1	8745_copy2	8745_copy1	6380_BLANK	6380_BLANK2	7009_copy1	7009_copy2	7248_copy2	7248_copy1	7943_copy2	7943_copy1	6055_copy1	6055_copy2	8674_copy1	8674_copy2	6379_copy1	6379_BLANK	6387_copy2	6387_copy1	6848_BLANK2	6848_BLANK	6979_copy1	6979_copy2	8739_copy1	8739_copy2	4862_copy1	4862_copy2	7945_copy2	7945_copy1
55	6137_copy2	6137_copy1	8704_copy2	8704_copy1	8745_copy2	8745_copy1	6380_BLANK2	6380_BLANK	7009_copy1	7009_copy2	7248_copy2	7248_copy1	7943_copy2	7943_copy1	6055_copy1	6055_copy2	8674_copy1	8674_copy2	6379_BLANK	6379_copy1	6387_copy2	6387_copy1	6848_BLANK2	6848_BLANK	6979_copy1	6979_copy2	8739_copy2	8739_copy1	4862_copy1	4862_copy2	7945_copy2	7945_copy1
